NCells,NGuides,NCellsPerElement,MOI,MeanReads,ReadScaling,alpha_cor,Efficacy_type,Method,MTmethod,Power,CatCount
92373.0,27712,400.0,30,1.5437906,1.0,0.05,strong,perturbo,fdr,0.34697272122421824,3006
69280.0,27712,300.0,30,1.5532247,1.0,0.05,strong,perturbo,fdr,0.3333333333333333,3006
346400.0,27712,1500.0,30,1.5420465,1.0,0.05,strong,perturbo,fdr,0.47105788423153694,3006
34640.0,27712,150.0,30,0.77762055,0.5,0.05,strong,perturbo,fdr,0.17465069860279442,3006
23093.0,27712,100.0,30,1.5370864,1.0,0.05,strong,perturbo,fdr,0.16400532268795742,3006
18474.0,27712,80.0,30,1.5598648,1.0,0.05,strong,perturbo,fdr,0.15103127079174983,3006
173200.0,27712,750.0,30,6.195081,4.0,0.05,strong,perturbo,fdr,0.5785096473719228,3006
346400.0,27712,1500.0,30,4.626527,3.0,0.05,strong,perturbo,fdr,0.5791749833666001,3006
115466.0,27712,500.0,30,1.545517,1.0,0.05,strong,perturbo,fdr,0.395542248835662,3006
461866.0,27712,2000.0,30,6.1885004,4.0,0.05,strong,perturbo,fdr,0.6380572188955422,3006
18474.0,27712,80.0,30,3.118205,2.0,0.05,strong,perturbo,fdr,0.2109115103127079,3006
230933.0,27712,1000.0,30,6.1882663,4.0,0.05,strong,perturbo,fdr,0.5778443113772455,3006
346400.0,27712,1500.0,30,6.1680207,4.0,0.05,strong,perturbo,fdr,0.6200931470392548,3006
4618.0,27712,20.0,30,4.613905,3.0,0.05,strong,perturbo,fdr,0.028942115768463075,3006
46186.0,27712,200.0,30,0.7749263,0.5,0.05,strong,perturbo,fdr,0.19328010645375915,3006
115466.0,27712,500.0,30,3.0912652,2.0,0.05,strong,perturbo,fdr,0.4750499001996008,3006
18474.0,27712,80.0,30,0.77974474,0.5,0.05,strong,perturbo,fdr,0.10113107119095142,3006
230933.0,27712,1000.0,30,0.7737101,0.5,0.05,strong,perturbo,fdr,0.36826347305389223,3006
57733.0,27712,250.0,30,0.7753124,0.5,0.05,strong,perturbo,fdr,0.2208915502328676,3006
46186.0,27712,200.0,30,4.6482005,3.0,0.05,strong,perturbo,fdr,0.38256819693945443,3006
23093.0,27712,100.0,30,6.147184,4.0,0.05,strong,perturbo,fdr,0.3070525615435795,3006
461866.0,27712,2000.0,30,0.7732966,0.5,0.05,strong,perturbo,fdr,0.40252827677977376,3006
230933.0,27712,1000.0,30,1.5473558,1.0,0.05,strong,perturbo,fdr,0.45342648037258815,3006
57733.0,27712,250.0,30,4.6507225,3.0,0.05,strong,perturbo,fdr,0.41583499667332,3006
9237.0,27712,40.0,30,6.1726975,4.0,0.05,strong,perturbo,fdr,0.18030605455755155,3006
46186.0,27712,200.0,30,6.1996317,4.0,0.05,strong,perturbo,fdr,0.41084497671324016,3006
115466.0,27712,500.0,30,0.772709,0.5,0.05,strong,perturbo,fdr,0.3143712574850299,3006
230933.0,27712,1000.0,30,4.6414156,3.0,0.05,strong,perturbo,fdr,0.5771789753825682,3006
69280.0,27712,300.0,30,0.7768335,0.5,0.05,strong,perturbo,fdr,0.2528276779773786,3006
13856.0,27712,60.0,30,4.65151,3.0,0.05,strong,perturbo,fdr,0.218562874251497,3006
346400.0,27712,1500.0,30,0.7709941,0.5,0.05,strong,perturbo,fdr,0.38922155688622756,3006
57733.0,27712,250.0,30,6.202262,4.0,0.05,strong,perturbo,fdr,0.4407850964737192,3006
69280.0,27712,300.0,30,4.6594176,3.0,0.05,strong,perturbo,fdr,0.4447771124417831,3006
69280.0,27712,300.0,30,3.1073627,2.0,0.05,strong,perturbo,fdr,0.4121756487025948,3006
9237.0,27712,40.0,30,0.771639,0.5,0.05,strong,perturbo,fdr,0.044577511643379905,3006
92373.0,27712,400.0,30,3.0875945,2.0,0.05,strong,perturbo,fdr,0.4374584165003327,3006
9237.0,27712,40.0,30,3.0868368,2.0,0.05,strong,perturbo,fdr,0.12974051896207583,3006
173200.0,27712,750.0,30,4.64567,3.0,0.05,strong,perturbo,fdr,0.5578842315369261,3006
4618.0,27712,20.0,30,6.151029,4.0,0.05,strong,perturbo,fdr,0.036593479707252165,3006
57733.0,27712,250.0,30,3.0998182,2.0,0.05,strong,perturbo,fdr,0.35296074517631404,3006
92373.0,27712,400.0,30,6.1758885,4.0,0.05,strong,perturbo,fdr,0.5036593479707252,3006
173200.0,27712,750.0,30,0.7743531,0.5,0.05,strong,perturbo,fdr,0.36127744510978044,3006
13856.0,27712,60.0,30,0.7750933,0.5,0.05,strong,perturbo,fdr,0.061543579507651366,3006
69280.0,27712,300.0,30,6.213275,4.0,0.05,strong,perturbo,fdr,0.48303393213572854,3006
18474.0,27712,80.0,30,6.238088,4.0,0.05,strong,perturbo,fdr,0.2751164337990685,3006
34640.0,27712,150.0,30,4.6644015,3.0,0.05,strong,perturbo,fdr,0.33765801729873585,3006
230933.0,27712,1000.0,30,3.094494,2.0,0.05,strong,perturbo,fdr,0.5319361277445109,3006
4618.0,27712,20.0,30,3.075363,2.0,0.05,strong,perturbo,fdr,0.0026613439787092482,3006
13856.0,27712,60.0,30,3.0997977,2.0,0.05,strong,perturbo,fdr,0.17298735861610112,3006
92373.0,27712,400.0,30,4.6317,3.0,0.05,strong,perturbo,fdr,0.48137059214903527,3006
13856.0,27712,60.0,30,1.5496569,1.0,0.05,strong,perturbo,fdr,0.12308715901530273,3006
18474.0,27712,80.0,30,4.678743,3.0,0.05,strong,perturbo,fdr,0.23885562208915503,3006
