NCells,NGuides,NCellsPerElement,MOI,MeanReads,ReadScaling,alpha_cor,Efficacy_type,Method,MTmethod,Power,CatCount
23093.0,27712,100.0,30,2.868396,2.0,0.1,strong,perturbo,fdr,0.44452864504395273,6598
92373.0,27712,400.0,30,4.3118825,3.0,0.1,strong,perturbo,fdr,0.7159745377387087,6598
230933.0,27712,1000.0,30,1.4394729,1.0,0.1,strong,perturbo,fdr,0.6620187935738102,6598
13856.0,27712,60.0,30,2.8830132,2.0,0.1,strong,perturbo,fdr,0.3739011821764171,6598
57733.0,27712,250.0,30,5.755069,4.0,0.1,strong,perturbo,fdr,0.6903607153682935,6598
115466.0,27712,500.0,30,2.8790529,2.0,0.1,strong,perturbo,fdr,0.6853591997575023,6598
18474.0,27712,80.0,30,0.72104096,0.5,0.1,strong,perturbo,fdr,0.21370112155198545,6598
115466.0,27712,500.0,30,1.439567,1.0,0.1,strong,perturbo,fdr,0.5930585025765384,6598
18474.0,27712,80.0,30,5.7701716,4.0,0.1,strong,perturbo,fdr,0.5180357684146711,6598
34640.0,27712,150.0,30,2.8740437,2.0,0.1,strong,perturbo,fdr,0.518187329493786,6598
4618.0,27712,20.0,30,0.71520853,0.5,0.1,strong,perturbo,fdr,0.06698999696877841,6598
18474.0,27712,80.0,30,1.4422679,1.0,0.1,strong,perturbo,fdr,0.31145801758108516,6598
69280.0,27712,300.0,30,0.72019565,0.5,0.1,strong,perturbo,fdr,0.43619278569263414,6598
69280.0,27712,300.0,30,1.4403124,1.0,0.1,strong,perturbo,fdr,0.5504698393452562,6598
4618.0,27712,20.0,30,1.4300884,1.0,0.1,strong,perturbo,fdr,0.11579266444377084,6598
57733.0,27712,250.0,30,2.8774908,2.0,0.1,strong,perturbo,fdr,0.611700515307669,6598
23093.0,27712,100.0,30,0.71715295,0.5,0.1,strong,perturbo,fdr,0.23097908457108215,6598
92373.0,27712,400.0,30,2.874793,2.0,0.1,strong,perturbo,fdr,0.6792967565929069,6598
4618.0,27712,20.0,30,4.2907286,3.0,0.1,strong,perturbo,fdr,0.225977568960291,6598
9237.0,27712,40.0,30,2.888011,2.0,0.1,strong,perturbo,fdr,0.3060018187329494,6598
173200.0,27712,750.0,30,1.4390199,1.0,0.1,strong,perturbo,fdr,0.641558047893301,6598
46186.0,27712,200.0,30,1.439377,1.0,0.1,strong,perturbo,fdr,0.4646862685662322,6598
9237.0,27712,40.0,30,0.7219126,0.5,0.1,strong,perturbo,fdr,0.129887844801455,6598
13856.0,27712,60.0,30,4.3227906,3.0,0.1,strong,perturbo,fdr,0.4264928766292816,6598
23093.0,27712,100.0,30,5.738636,4.0,0.1,strong,perturbo,fdr,0.5344043649590785,6598
115466.0,27712,500.0,30,0.7197226,0.5,0.1,strong,perturbo,fdr,0.5124280084874204,6598
115466.0,27712,500.0,30,4.319405,3.0,0.1,strong,perturbo,fdr,0.7335556229160352,6598
18474.0,27712,80.0,30,2.8846283,2.0,0.1,strong,perturbo,fdr,0.4173992118823886,6598
34640.0,27712,150.0,30,4.3116984,3.0,0.1,strong,perturbo,fdr,0.5838132767505305,6598
69280.0,27712,300.0,30,4.321759,3.0,0.1,strong,perturbo,fdr,0.6859654440739618,6598
