NCells,NGuides,NCellsPerElement,MOI,MeanReads,ReadScaling,alpha_cor,Efficacy_type,Method,MTmethod,Power,CatCount
692800,8660,80,1,4.2428527,3.0,0.05,strong,perturbo_mixture,fdr,0.8165615906886518,8248
866000,8660,100,1,5.663761,4.0,0.05,strong,perturbo_mixture,fdr,0.9024005819592629,8248
346400,8660,40,1,1.4178604,1.0,0.05,strong,perturbo_mixture,fdr,0.15240058195926284,8248
866000,8660,100,1,2.8314695,2.0,0.05,strong,perturbo_mixture,fdr,0.8126818622696411,8248
1515500,8660,175,1,5.6722445,4.0,0.05,strong,perturbo_mixture,fdr,0.9468962172647915,8248
346400,8660,40,1,4.2535286,3.0,0.05,strong,perturbo_mixture,fdr,0.44944228903976724,8248
1732000,8660,200,1,5.663852,4.0,0.05,strong,perturbo_mixture,fdr,0.9317410281280311,8248
866000,8660,100,1,1.4154994,1.0,0.05,strong,perturbo_mixture,fdr,0.6691319107662463,8248
692800,8660,80,1,5.658033,4.0,0.05,strong,perturbo_mixture,fdr,0.8603297769156159,8248
866000,8660,100,1,4.2475376,3.0,0.05,strong,perturbo_mixture,fdr,0.8814258001939864,8248
86600,8660,10,1,5.663252,4.0,0.05,strong,perturbo_mixture,fdr,0.01733753637245393,8248
1732000,8660,200,1,1.416121,1.0,0.05,strong,perturbo_mixture,fdr,0.9317410281280311,8248
1515500,8660,175,1,4.2542067,3.0,0.05,strong,perturbo_mixture,fdr,0.9458050436469447,8248
1515500,8660,175,1,1.4175099,1.0,0.05,strong,perturbo_mixture,fdr,0.8399612027158099,8248
1082500,8660,125,1,1.4151947,1.0,0.05,strong,perturbo_mixture,fdr,0.7531522793404462,8248
692800,8660,80,1,1.4141003,1.0,0.05,strong,perturbo_mixture,fdr,0.5403734238603298,8248
519600,8660,60,1,4.2430987,3.0,0.05,strong,perturbo_mixture,fdr,0.6705868089233754,8248
259800,8660,30,1,4.2458425,3.0,0.05,strong,perturbo_mixture,fdr,0.2691561590688652,8248
346400,8660,40,1,0.70894086,0.5,0.05,strong,perturbo_mixture,fdr,0.04776915615906886,8248
259800,8660,30,1,0.7075931,0.5,0.05,strong,perturbo_mixture,fdr,0.028976721629485936,8248
173200,8660,20,1,5.6550584,4.0,0.05,strong,perturbo_mixture,fdr,0.11154219204655674,8248
86600,8660,10,1,4.2477756,3.0,0.05,strong,perturbo_mixture,fdr,0.014306498545101843,8248
519600,8660,60,1,2.8288114,2.0,0.05,strong,perturbo_mixture,fdr,0.5737148399612028,8248
259800,8660,30,1,2.830592,2.0,0.05,strong,perturbo_mixture,fdr,0.18004364694471386,8248
1082500,8660,125,1,2.8313248,2.0,0.05,strong,perturbo_mixture,fdr,0.8637245392822502,8248
1515500,8660,175,1,2.8360474,2.0,0.05,strong,perturbo_mixture,fdr,0.9076139670223085,8248
259800,8660,30,1,5.660937,4.0,0.05,strong,perturbo_mixture,fdr,0.32795829291949563,8248
433000,8660,50,1,2.8344188,2.0,0.05,strong,perturbo_mixture,fdr,0.47829776915615907,8248
1299000,8660,150,1,5.659029,4.0,0.05,strong,perturbo_mixture,fdr,0.9450775945683803,8248
1082500,8660,125,1,5.664822,4.0,0.05,strong,perturbo_mixture,fdr,0.9324684772065955,8248
1732000,8660,200,1,2.8322928,2.0,0.05,strong,perturbo_mixture,fdr,0.9323472356935014,8248
433000,8660,50,1,1.417083,1.0,0.05,strong,perturbo_mixture,fdr,0.29110087293889425,8248
173200,8660,20,1,1.4137642,1.0,0.05,strong,perturbo_mixture,fdr,0.028976721629485936,8248
519600,8660,60,1,1.4143078,1.0,0.05,strong,perturbo_mixture,fdr,0.380819592628516,8248
1082500,8660,125,1,0.7076697,0.5,0.05,strong,perturbo_mixture,fdr,0.5895974781765276,8248
1732000,8660,200,1,0.7078489,0.5,0.05,strong,perturbo_mixture,fdr,0.9294374393792435,8248
519600,8660,60,1,5.6571703,4.0,0.05,strong,perturbo_mixture,fdr,0.7510911736178467,8248
866000,8660,100,1,0.70762146,0.5,0.05,strong,perturbo_mixture,fdr,0.4342870999030068,8248
86600,8660,10,1,1.4157869,1.0,0.05,strong,perturbo_mixture,fdr,0.005940834141610087,8248
346400,8660,40,1,2.835623,2.0,0.05,strong,perturbo_mixture,fdr,0.3203200775945684,8248
692800,8660,80,1,2.8284101,2.0,0.05,strong,perturbo_mixture,fdr,0.7266003879728419,8248
433000,8660,50,1,5.6695776,4.0,0.05,strong,perturbo_mixture,fdr,0.6627061105722599,8248
1082500,8660,125,1,4.247686,3.0,0.05,strong,perturbo_mixture,fdr,0.9125848690591658,8248
433000,8660,50,1,0.7085512,0.5,0.05,strong,perturbo_mixture,fdr,0.15312803103782735,8248
259800,8660,30,1,1.4151059,1.0,0.05,strong,perturbo_mixture,fdr,0.08111057225994181,8248
519600,8660,60,1,0.7070392,0.5,0.05,strong,perturbo_mixture,fdr,0.18186226964112512,8248
173200,8660,20,1,0.7068799,0.5,0.05,strong,perturbo_mixture,fdr,0.011154219204655674,8248
346400,8660,40,1,5.671483,4.0,0.05,strong,perturbo_mixture,fdr,0.5364936954413191,8248
86600,8660,10,1,2.831992,2.0,0.05,strong,perturbo_mixture,fdr,0.012366634335596509,8248
1299000,8660,150,1,2.829824,2.0,0.05,strong,perturbo_mixture,fdr,0.9073714839961202,8248
1299000,8660,150,1,1.41515,1.0,0.05,strong,perturbo_mixture,fdr,0.8181377303588748,8248
1299000,8660,150,1,4.2443614,3.0,0.05,strong,perturbo_mixture,fdr,0.9347720659553831,8248
1299000,8660,150,1,0.7077723,0.5,0.05,strong,perturbo_mixture,fdr,0.6406401551891368,8248
1732000,8660,200,1,4.248005,3.0,0.05,strong,perturbo_mixture,fdr,0.9322259941804074,8248
433000,8660,50,1,4.252034,3.0,0.05,strong,perturbo_mixture,fdr,0.5874151309408342,8248
173200,8660,20,1,4.241328,3.0,0.05,strong,perturbo_mixture,fdr,0.10657129000969932,8248
1515500,8660,175,1,0.7085718,0.5,0.05,strong,perturbo_mixture,fdr,0.7221144519883608,8248
173200,8660,20,1,2.82744,2.0,0.05,strong,perturbo_mixture,fdr,0.06486420950533463,8248
692800,8660,80,1,0.7071673,0.5,0.05,strong,perturbo_mixture,fdr,0.36542192046556743,8248
86600,8660,10,1,0.70789653,0.5,0.05,strong,perturbo_mixture,fdr,0.0025460717749757516,8248
